Timestamp,Likes,Shares,Comments,UserFollowers
2023-01-01 00:00:00,101,91,78,65645
2023-01-01 01:00:00,116,9,164,56243
2023-01-01 02:00:00,121,55,123,41659
2023-01-01 03:00:00,85,68,63,50317
2023-01-01 04:00:00,367,33,75,94486
2023-01-01 05:00:00,13,25,61,57549
2023-01-01 06:00:00,398,56,34,55270
2023-01-01 07:00:00,365,95,144,7347
2023-01-01 08:00:00,308,29,22,9325
2023-01-01 09:00:00,137,14,138,39415
2023-01-01 10:00:00,353,71,138,34871
2023-01-01 11:00:00,325,19,166,84839
2023-01-01 12:00:00,351,8,74,6066
2023-01-01 13:00:00,32,13,103,84413
2023-01-01 14:00:00,390,33,65,36657
2023-01-01 15:00:00,272,43,21,51464
2023-01-01 16:00:00,335,39,197,32320
2023-01-01 17:00:00,214,38,57,38219
2023-01-01 18:00:00,441,37,21,14348
2023-01-01 19:00:00,78,79,24,79709
2023-01-01 20:00:00,419,14,135,32913
2023-01-01 21:00:00,182,22,91,86666
2023-01-01 22:00:00,303,86,53,58514
2023-01-01 23:00:00,426,51,4,59467
2023-01-02 00:00:00,23,27,7,2682
2023-01-02 01:00:00,461,48,74,48000
2023-01-02 02:00:00,216,44,172,72993
2023-01-02 03:00:00,477,55,137,91463
2023-01-02 04:00:00,260,42,181,32969
2023-01-02 05:00:00,227,95,154,65852
2023-01-02 06:00:00,62,63,104,39497
2023-01-02 07:00:00,83,90,31,73829
2023-01-02 08:00:00,201,43,148,91667
2023-01-02 09:00:00,221,78,52,94536
2023-01-02 10:00:00,323,61,78,44898
2023-01-02 11:00:00,20,59,2,89688
2023-01-02 12:00:00,73,71,142,68818
2023-01-02 13:00:00,490,97,185,84753
2023-01-02 14:00:00,348,43,100,83212
2023-01-02 15:00:00,368,40,134,56629
2023-01-02 16:00:00,200,58,99,40656
2023-01-02 17:00:00,428,68,155,7981
2023-01-02 18:00:00,355,87,20,92004
2023-01-02 19:00:00,325,22,45,21089
2023-01-02 20:00:00,55,56,116,23792
2023-01-02 21:00:00,164,61,173,70783
2023-01-02 22:00:00,100,74,154,44671
2023-01-02 23:00:00,175,59,112,98208
2023-01-03 00:00:00,181,67,199,72469
2023-01-03 01:00:00,1,3,130,16645
2023-01-03 02:00:00,311,98,26,42771
2023-01-03 03:00:00,389,60,69,16953
2023-01-03 04:00:00,325,11,173,19911
2023-01-03 05:00:00,42,18,98,76169
2023-01-03 06:00:00,236,10,188,44369
2023-01-03 07:00:00,405,73,71,59610
2023-01-03 08:00:00,368,24,100,17777
2023-01-03 09:00:00,487,5,155,36878
2023-01-03 10:00:00,110,43,27,9583
2023-01-03 11:00:00,485,87,30,14745
2023-01-03 12:00:00,334,25,122,6689
2023-01-03 13:00:00,409,11,184,93766
2023-01-03 14:00:00,383,46,188,9449
2023-01-03 15:00:00,69,81,4,21443
2023-01-03 16:00:00,144,54,4,47453
2023-01-03 17:00:00,286,16,155,73618
2023-01-03 18:00:00,126,11,115,48685
2023-01-03 19:00:00,22,78,57,37615
2023-01-03 20:00:00,447,92,14,17750
2023-01-03 21:00:00,356,7,170,95600
2023-01-03 22:00:00,249,35,110,43527
2023-01-03 23:00:00,150,61,87,67020
2023-01-04 00:00:00,106,25,28,53672
2023-01-04 01:00:00,54,53,61,47553
2023-01-04 02:00:00,350,65,130,83263
2023-01-04 03:00:00,479,39,87,52426
2023-01-04 04:00:00,115,51,187,40628
2023-01-04 05:00:00,258,77,10,16141
2023-01-04 06:00:00,240,38,132,36042
